"","logFC","logCPM","PValue","FDR"
"YDR070C",-2.51556396216346,5.85009186191394,1.54733881453194e-12,2.02082449177872e-09
"YIR034C",-2.12872819812775,7.49453427809735,4.22455022434193e-12,4.41381007439245e-09
"YBR072W",-3.5099149274573,8.67444880995184,5.94224504212234e-12,5.17371468334119e-09
"YNL015W",-1.86036120145115,7.56595941852704,5.37315631103355e-10,3.11881872987103e-07
"YKR076W",-1.7985215130103,6.40453522096643,7.5835112128257e-10,3.30135521465012e-07
"YIR038C",-1.83077434316878,6.51955868298648,1.99865839628446e-09,6.14175968364119e-07
"YNL200C",-1.62721649677701,7.01139044411404,4.04977754603172e-09,1.11347567897209e-06
"YDL021W",-2.15901800803538,5.8054058763375,5.75599128117354e-09,1.50346492264253e-06
"YDL085W",-2.25728879420316,5.34242325065599,1.05472778825386e-08,2.45471445482108e-06
"YBR147W",-2.0401426870196,5.47119335446645,1.08075100422827e-08,2.45471445482108e-06
"YLR142W",-1.82204315572336,7.47787250459227,1.25221199243279e-08,2.72564810352872e-06
"YGR043C",-1.94519159301015,6.0631637179655,1.38270667617622e-08,2.88930387053783e-06
"YML131W",-1.56160589856552,6.94890188426489,2.71916681084133e-08,4.8982508344259e-06
"YGL156W",-1.77741177574572,7.35011788982459,4.53793723071754e-08,7.18369214947529e-06
"YLR178C",-2.20263937845339,8.43985468142407,7.13068739606028e-08,8.54774733234885e-06
"YOR120W",-1.99340882181142,8.68610147857794,7.25870514463392e-08,8.54774733234885e-06
"YNL160W",-2.13605996664117,8.47469827690915,9.78497337516427e-08,1.04319797779302e-05
"YGL125W",-1.48156623677177,7.16590368628893,1.32250936975069e-07,1.35466449952502e-05
"YDL204W",-1.81332516021783,8.21841617725009,1.40901629998323e-07,1.415519452137e-05
"YER103W",-2.20396196149006,9.33702458368424,1.60782865660697e-07,1.58129732785534e-05
"YMR206W",-2.12127391307198,5.94638333236839,1.75820703810807e-07,1.66997701219573e-05
"YGR256W",-2.09878785605245,6.27699852869197,2.07571040653671e-07,1.90237037960487e-05
"YDL169C",-2.00922784514052,5.26306050846978,2.15107210055613e-07,1.9374483885009e-05
"YGL121C",-2.8344875531659,4.83600494972196,3.68655226275768e-07,3.01734326151252e-05
"YJL088W",-1.57452487146623,6.52955997027461,4.20567821760993e-07,3.23095044246975e-05
"YDR453C",-1.76925024143817,6.20547857004613,4.93847237880234e-07,3.68551138669478e-05
