"","logFC","logCPM","PValue","FDR"
"YGR159C",2.97485409011273,6.88236003642515,5.43668707044897e-16,2.84012532560254e-12
"YFL034C-A",2.43749836310113,6.59401261552902,5.90901690645461e-14,1.54343521596595e-10
"YAL025C",2.72586981962041,5.59999934764014,2.35921130648259e-13,4.10817328835501e-10
"YDR070C",-2.51556396216346,5.85009186191394,1.54733881453194e-12,2.02082449177872e-09
"YIR034C",-2.12872819812775,7.49453427809735,4.22455022434193e-12,4.41381007439245e-09
"YBR072W",-3.5099149274573,8.67444880995184,5.94224504212234e-12,5.17371468334119e-09
"YBL042C",1.93059667232545,6.45742445033366,2.13414542908227e-11,1.59268224593226e-08
"YKR092C",2.10680695741526,6.19766708974305,1.63080905057972e-10,1.06491831002856e-07
"YNL015W",-1.86036120145115,7.56595941852704,5.37315631103355e-10,3.11881872987103e-07
"YPL183C",1.9401071902561,5.81443064239098,6.51903412386958e-10,3.30135521465012e-07
"YLR186W",2.03905730675832,6.07062490853656,7.13177698647632e-10,3.30135521465012e-07
"YKR076W",-1.7985215130103,6.40453522096643,7.5835112128257e-10,3.30135521465012e-07
"YOR243C",1.94899717457168,6.54731003256684,1.14849695565394e-09,4.52661303911399e-07
"YOL077C",2.1716131331891,6.28543639960519,1.21310456637817e-09,4.52661303911399e-07
"YLL008W",1.82151796261324,6.98872300254715,1.49903666944024e-09,5.22064504077054e-07
"YKL156W",1.65464564959859,7.40896439113057,1.90565173448215e-09,6.14175968364119e-07
"YIR038C",-1.83077434316878,6.51955868298648,1.99865839628446e-09,6.14175968364119e-07
"YGR245C",1.84252560787962,6.83617403601653,2.97486598782107e-09,8.63372217798736e-07
"YNL200C",-1.62721649677701,7.01139044411404,4.04977754603172e-09,1.11347567897209e-06
"YDL021W",-2.15901800803538,5.8054058763375,5.75599128117354e-09,1.50346492264253e-06
"YPL043W",2.07314511260418,6.17193484745615,8.04839119610827e-09,2.00213312421284e-06
"YDL085W",-2.25728879420316,5.34242325065599,1.05472778825386e-08,2.45471445482108e-06
"YBR147W",-2.0401426870196,5.47119335446645,1.08075100422827e-08,2.45471445482108e-06
"YLR142W",-1.82204315572336,7.47787250459227,1.25221199243279e-08,2.72564810352872e-06
"YGR043C",-1.94519159301015,6.0631637179655,1.38270667617622e-08,2.88930387053783e-06
"YLR264W",1.64360313428625,7.32290570462609,2.05229518893617e-08,4.12353464115483e-06
"YOR206W",1.8214390227592,6.75637408492174,2.14426076573241e-08,4.14874749636522e-06
"YIL127C",2.24504468048247,5.29100434418368,2.37639421463835e-08,4.43367263473954e-06
"YML131W",-1.56160589856552,6.94890188426489,2.71916681084133e-08,4.8982508344259e-06
"YPL081W",2.7832660853362,7.45757371574381,2.85343621840088e-08,4.96878360164207e-06
"YNL132W",1.81476467807518,6.49715521025607,4.17173829992845e-08,6.95841932860736e-06
"YLR009W",1.96493840610231,5.9473160585461,4.26243144171967e-08,6.95841932860736e-06
"YGL156W",-1.77741177574572,7.35011788982459,4.53793723071754e-08,7.18369214947529e-06
"YMR290C",1.73516301944395,7.1369534972405,5.4715464820889e-08,8.40687024189189e-06
"YDL148C",1.84169847867946,6.31889047947818,5.89213883648016e-08,8.54774733234885e-06
"YOR091W",1.65195528270442,6.41132560000189,6.11563810400254e-08,8.54774733234885e-06
