conA_rep1.sam	conA_rep2.sam	conB_rep1.sam	conB_rep2.sam
YAL068C	0	0	0	0
YAL067W-A	0	0	0	0
YAL067C	0	0	0	0
YAL065C	0	0	0	0
YAL064W-B	1	0	1	0
YAL064C-A	0	0	0	0
YAL064W	0	0	0	0
YAL063C-A	0	0	0	0
YAL063C	11	13	4	9
YAL062W	33	17	13	14
YAL061W	648	381	269	227
YAL060W	761	856	408	494
YAL059W	8	12	10	31
YAL058W	39	26	35	50
YAL056W	137	90	54	99
YAL055W	16	15	8	10
YAL054C	68	29	21	27
YAL053W	153	165	139	177
YAL051W	67	65	56	91
YAL049C	75	56	57	66
YAL048C	34	27	22	47
YAL047C	25	20	19	22
YAL046C	20	22	14	40
YAL044W-A	30	18	14	21
YAL044C	210	266	146	172
YAL043C	69	81	66	94
YAL042W	123	180	146	224
YAL041W	68	58	53	105
YAL040C	54	64	90	127
YAL039C	84	97	83	80
YAL038W	3602	6598	3774	5493
YAL037C-A	69	103	66	111
YAL037W	3	5	5	11
YAL036C	53	52	67	128
YAL035W	322	450	424	728
YAL034W-A	16	17	12	16
YAL034C	191	117	64	93
YAL033W	7	7	18	16
YAL032C	41	26	22	24
YAL031C	66	73	49	84
YAL030W	38	46	21	30
YAL029C	79	99	103	163
YAL028W	49	41	24	35
YAL027W	29	20	15	16
YAL026C	91	79	76	124
YNCA0001W	0	0	0	0
YAL025C	10	9	45	76
YAL024C	27	41	23	35
YAL023C	232	246	231	343
YAL022C	48	41	26	61
YAL021C	96	67	71	85
YAL020C	51	32	38	64
YAL019W	48	46	73	104
YAL018C	0	1	0	0
YAL017W	263	243	139	176
YAL016W	238	257	210	218
YAL015C	55	43	25	36
YAL014C	51	36	28	41
YAL013W	77	75	55	84
YAL012W	526	166	137	209
YAL011W	40	44	31	36
YAL010C	34	35	22	32
YAL009W	19	23	23	25
YAL008W	84	76	23	38
YAL007C	68	95	83	115
YNCA0002W	0	0	0	0
YAL005C	5343	4822	2216	3193
YAL003W	301	679	913	1245
YNCA0003W	0	0	0	0
YAL002W	87	49	35	57
YAL001C	123	80	59	87
YAR002W	53	69	64	86
YAR002C-A	106	96	77	108
YAR003W	37	29	41	45
YAR007C	93	89	68	88
YAR008W	4	10	7	18
YAR009C	140	311	137	197
YAR010C	60	106	64	62
YNCA0004W	0	0	0	0
YAR014C	122	98	118	135
YAR015W	279	684	461	539
YAR018C	39	43	33	37
YAR019C	47	36	52	60
YAR020C	3	3	0	8
YAR023C	7	5	7	12
YNCA0005W	0	0	0	0
YNCA0006C	0	0	0	0
YAR027W	104	116	60	107
YAR028W	11	15	13	22
YAR029W	2	2	4	7
YAR031W	19	18	5	22
YAR033W	14	10	8	14
YAR035W	66	19	45	77
YAR035C-A	3	1	3	2
YAR042W	161	128	98	136
YAR050W	19	4	10	8
YAR061W	2	1	0	4
YAR064W	1	1	1	0
YAR066W	14	6	8	18
YAR068W	11	10	10	8
YAR071W	26	23	39	44
YBL113C	160	89	67	105
YBL112C	4	2	5	4
YBL111C	43	27	22	29
YBL108C-A	0	0	0	0
YNCB0001W	0	0	0	1
YBL107C	26	29	15	21
YBL106C	34	17	17	35
YBL105C	174	141	126	186
YBL104C	49	50	36	40
YBL103C	36	34	40	43
YBL102W	56	78	51	59
YBL101C	125	159	108	114
YBL100W-C	1	2	1	3
YBL100W-B	45	58	24	44
YBL100W-A	0	0	0	0
YNCB0002W	0	0	0	0
YBL099W	1915	1626	1084	1510
YBL098W	50	155	55	95
YBL097W	28	21	18	25
YBL095W	41	13	28	37
YBL093C	36	35	34	45
YBL092W	409	919	1324	1922
YBL091C-A	43	29	12	23
YBL091C	199	242	157	280
YBL090W	36	30	29	29
YBL089W	39	32	15	24
YBL088C	68	53	38	70
YBL087C	164	366	556	819
YBL086C	83	87	54	67
YBL085W	124	92	110	130
YBL084C	51	44	47	45
YBL082C	32	25	27	50
YBL081W	7	3	7	14
YBL080C	48	37	29	30
YBL079W	136	109	71	126
YBL078C	31	28	25	20
YBL076C	266	672	456	601
YBL075C	95	25	40	53
YBL074C	19	14	4	17
YNCB0003W	0	2	0	0
YBL072C	389	866	1302	1953
YBL071C-B	0	0	0	0
YBL071W-A	3	3	5	4
YBL071C	4	5	7	8
YBL069W	54	24	33	57
YBL068W	24	41	48	80
YBL067C	45	54	43	68
YBL066C	108	78	57	51
YBL064C	360	250	110	130
YBL063W	51	25	26	34
YBL061C	69	76	76	129
YBL060W	34	26	23	38
YBL059C-A	21	18	8	16
YBL059W	13	11	7	13
YBL058W	218	253	146	173
YBL057C	40	49	37	53
YBL056W	247	250	158	207
YBL055C	32	53	41	72
YBL054W	14	8	18	54
YBL052C	49	49	41	63
YBL051C	107	139	81	135
