"","logFC","logCPM","PValue","FDR"
"YGR159C",2.97485409011273,6.88236003642515,5.43668707044897e-16,2.84012532560254e-12
"YFL034C-A",2.43749836310113,6.59401261552902,5.90901690645461e-14,1.54343521596595e-10
"YAL025C",2.72586981962041,5.59999934764014,2.35921130648259e-13,4.10817328835501e-10
"YBL042C",1.93059667232545,6.45742445033366,2.13414542908227e-11,1.59268224593226e-08
"YKR092C",2.10680695741526,6.19766708974305,1.63080905057972e-10,1.06491831002856e-07
"YPL183C",1.9401071902561,5.81443064239098,6.51903412386958e-10,3.30135521465012e-07
"YLR186W",2.03905730675832,6.07062490853656,7.13177698647632e-10,3.30135521465012e-07
"YOR243C",1.94899717457168,6.54731003256684,1.14849695565394e-09,4.52661303911399e-07
"YOL077C",2.1716131331891,6.28543639960519,1.21310456637817e-09,4.52661303911399e-07
"YLL008W",1.82151796261324,6.98872300254715,1.49903666944024e-09,5.22064504077054e-07
"YKL156W",1.65464564959859,7.40896439113057,1.90565173448215e-09,6.14175968364119e-07
"YGR245C",1.84252560787962,6.83617403601653,2.97486598782107e-09,8.63372217798736e-07
"YPL043W",2.07314511260418,6.17193484745615,8.04839119610827e-09,2.00213312421284e-06
"YLR264W",1.64360313428625,7.32290570462609,2.05229518893617e-08,4.12353464115483e-06
"YOR206W",1.8214390227592,6.75637408492174,2.14426076573241e-08,4.14874749636522e-06
"YIL127C",2.24504468048247,5.29100434418368,2.37639421463835e-08,4.43367263473954e-06
"YPL081W",2.7832660853362,7.45757371574381,2.85343621840088e-08,4.96878360164207e-06
"YNL132W",1.81476467807518,6.49715521025607,4.17173829992845e-08,6.95841932860736e-06
"YLR009W",1.96493840610231,5.9473160585461,4.26243144171967e-08,6.95841932860736e-06
"YMR290C",1.73516301944395,7.1369534972405,5.4715464820889e-08,8.40687024189189e-06
"YDL148C",1.84169847867946,6.31889047947818,5.89213883648016e-08,8.54774733234885e-06
"YOR091W",1.65195528270442,6.41132560000189,6.11563810400254e-08,8.54774733234885e-06
"YDR101C",2.14393639713675,6.01170927935778,6.27740626128893e-08,8.54774733234885e-06
"YLR264C-A",1.58777662145568,7.17215508807877,6.54255169573341e-08,8.54774733234885e-06
"YDR060W",1.9472066010493,6.85535332678388,6.78061697212264e-08,8.54774733234885e-06
"YBL039C",1.95983612220567,6.76403139808775,7.28897382321653e-08,8.54774733234885e-06
"YDR165W",1.64978673957344,6.14285911376212,7.31001043483908e-08,8.54774733234885e-06
"YGL029W",3.63655060006477,4.01049600964768,7.33238898434565e-08,8.54774733234885e-06
"YCR047C",1.94618105152579,5.68826279063905,7.36310547388397e-08,8.54774733234885e-06
"YNL308C",1.55349706946262,7.30901360366772,8.90011302787126e-08,9.970668504214e-06
"YGL099W",1.85226382866835,6.16075530622328,9.13595846881233e-08,9.970668504214e-06
"YML056C",1.78336057624195,6.90717053159843,9.16141057048759e-08,9.970668504214e-06
"YGR090W",1.75303373471847,6.74709856689225,1.15132189955602e-07,1.20290112065613e-05
"YLR129W",1.53394352819624,6.1392314850738,1.63457227611387e-07,1.58129732785534e-05
"YNL175C",1.76572229543789,6.56954186207924,1.81858785219167e-07,1.69648266783023e-05
"YKL143W",1.63386052519419,6.54894167719914,2.50988403913163e-07,2.22231088481756e-05
"YJR041C",1.79982173509492,5.54530696282828,2.89520335717283e-07,2.52075705631181e-05
